iter	Passed	Remaining
0	3	3972
1	6	3182
2	8	2964
3	10	2715
4	12	2561
5	14	2452
6	16	2374
7	19	2357
8	22	2532
9	25	2507
10	27	2473
11	29	2429
12	31	2392
13	33	2357
14	36	2371
15	38	2357
16	40	2339
17	44	2446
18	48	2519
19	51	2544
20	54	2552
21	56	2521
22	58	2504
23	60	2477
24	62	2449
25	67	2539
26	70	2522
27	72	2523
28	75	2517
29	77	2508
30	79	2493
31	81	2472
32	84	2476
33	89	2530
34	91	2522
35	93	2504
36	95	2488
37	98	2485
38	100	2482
39	102	2465
40	104	2447
41	106	2437
42	110	2456
43	112	2453
44	115	2440
45	117	2431
46	119	2417
47	121	2405
48	123	2393
49	125	2379
50	127	2370
51	129	2359
52	132	2374
53	135	2372
54	137	2360
55	139	2354
56	141	2345
57	143	2338
58	145	2328
59	147	2315
60	149	2304
61	151	2293
62	155	2311
63	157	2302
64	159	2291
65	161	2286
66	163	2277
67	165	2267
68	167	2258
69	169	2252
70	171	2244
71	173	2235
72	176	2242
73	178	2234
74	180	2225
75	182	2216
76	184	2209
77	186	2200
78	188	2192
79	189	2184
80	191	2176
81	193	2168
82	194	2151
83	197	2156
84	199	2149
85	201	2142
86	203	2136
87	206	2135
88	208	2131
89	210	2125
90	212	2118
91	214	2112
92	215	2106
93	218	2105
94	220	2101
95	222	2095
96	224	2089
97	226	2082
98	228	2078
99	230	2073
100	232	2067
101	234	2061
102	236	2055
103	237	2050
104	240	2051
105	242	2047
106	244	2042
107	246	2037
108	248	2031
109	251	2031
110	252	2026
111	254	2020
112	256	2015
113	258	2010
114	260	2005
115	263	2010
116	265	2003
117	267	1998
118	269	1993
119	271	1989
120	273	1985
121	274	1978
122	277	1975
123	278	1970
124	280	1965
125	282	1961
126	285	1960
127	287	1956
128	289	1952
129	291	1948
130	293	1945
131	295	1941
132	297	1936
133	299	1932
134	300	1928
135	302	1923
136	304	1920
137	307	1920
138	309	1918
139	311	1916
140	315	1919
141	316	1913
142	319	1915
143	321	1913
144	323	1909
145	326	1911
146	329	1909
147	331	1906
148	333	1902
149	335	1899
150	337	1896
151	339	1892
152	341	1887
153	342	1884
154	344	1880
155	347	1879
156	349	1879
157	351	1875
158	353	1871
159	355	1868
160	357	1862
161	359	1858
162	361	1854
163	363	1850
164	364	1846
165	366	1843
166	368	1838
167	371	1840
168	373	1836
169	375	1833
170	377	1829
171	379	1826
172	381	1822
173	383	1820
174	385	1816
175	387	1813
176	389	1809
177	392	1810
178	394	1807
179	395	1803
180	398	1800
181	400	1799
182	403	1800
183	405	1798
184	407	1794
185	409	1792
186	411	1789
187	415	1794
188	417	1792
189	419	1790
190	421	1787
191	423	1783
192	426	1782
193	428	1779
194	430	1775
195	432	1773
196	437	1781
197	439	1778
198	441	1776
199	443	1773
200	447	1780
201	450	1777
202	452	1774
203	454	1771
204	456	1768
205	459	1771
206	462	1770
207	464	1767
208	466	1765
209	469	1764
210	471	1761
211	473	1758
212	475	1755
213	476	1751
214	478	1747
215	482	1752
216	486	1753
217	488	1751
218	490	1747
219	492	1744
220	494	1742
221	497	1742
222	500	1743
223	506	1754
224	508	1752
225	510	1748
226	513	1748
227	515	1745
228	517	1742
229	519	1739
230	521	1736
231	523	1733
232	527	1735
233	529	1732
234	531	1729
235	533	1725
236	535	1724
237	537	1721
238	539	1717
239	541	1713
240	543	1710
241	544	1706
242	548	1707
243	550	1706
244	553	1705
245	555	1703
246	557	1700
247	559	1696
248	561	1693
249	563	1689
250	565	1686
251	567	1683
252	570	1684
253	572	1681
254	574	1678
255	576	1674
256	579	1674
257	581	1671
258	583	1668
259	585	1665
260	587	1662
261	589	1659
262	592	1659
263	594	1656
264	596	1653
265	597	1650
266	600	1647
267	601	1644
268	603	1640
269	605	1638
270	607	1635
271	609	1631
272	611	1628
273	614	1628
274	616	1625
275	618	1622
276	620	1619
277	622	1616
278	624	1613
279	626	1610
280	628	1607
281	630	1604
282	632	1601
283	633	1598
284	636	1596
285	638	1593
286	640	1590
287	641	1587
288	644	1584
289	645	1581
290	648	1578
291	649	1575
292	651	1572
293	653	1570
294	656	1568
295	658	1566
296	661	1564
297	663	1561
298	665	1560
299	667	1557
300	669	1554
301	671	1551
302	673	1548
303	676	1548
304	682	1554
305	688	1561
306	692	1562
307	695	1561
308	697	1559
309	701	1561
310	703	1559
311	705	1556
312	707	1553
313	710	1552
314	712	1550
315	714	1547
316	716	1544
317	718	1541
318	720	1538
319	722	1536
320	725	1534
321	727	1531
322	729	1528
323	731	1526
324	733	1523
325	735	1520
326	737	1517
327	739	1514
328	741	1511
329	742	1508
330	746	1508
331	748	1505
332	750	1502
333	752	1499
334	754	1496
335	756	1494
336	758	1492
337	760	1488
338	762	1486
339	764	1484
340	768	1484
341	770	1482
342	772	1479
343	774	1476
344	776	1474
345	779	1474
346	781	1471
347	783	1468
348	785	1465
349	789	1465
350	791	1463
351	793	1460
352	795	1458
353	797	1455
354	799	1452
355	801	1450
356	804	1448
357	806	1446
358	808	1444
359	811	1443
360	814	1440
361	816	1438
362	817	1435
363	819	1432
364	823	1433
365	826	1431
366	828	1428
367	832	1429
368	834	1427
369	836	1424
370	839	1423
371	841	1421
372	844	1418
373	846	1417
374	848	1414
375	850	1412
376	856	1415
377	859	1413
378	861	1411
379	863	1408
380	865	1405
381	867	1402
382	870	1403
383	873	1400
384	877	1402
385	880	1399
386	882	1397
387	885	1397
388	888	1395
389	890	1392
390	892	1389
391	894	1387
392	898	1387
393	901	1386
394	903	1383
395	905	1380
396	906	1377
397	908	1374
398	910	1371
399	912	1368
400	914	1366
401	916	1363
402	919	1361
403	921	1360
404	924	1357
405	925	1354
406	928	1352
407	930	1349
408	932	1347
409	934	1344
410	936	1341
411	938	1338
412	940	1336
413	943	1335
414	945	1333
415	947	1330
416	951	1330
417	955	1330
418	957	1328
419	959	1325
420	961	1322
421	965	1321
422	966	1318
423	968	1316
424	970	1313
425	972	1310
426	974	1307
427	976	1305
428	978	1302
429	980	1299
430	982	1296
431	984	1294
432	986	1292
433	988	1289
434	990	1287
435	992	1284
436	994	1281
437	996	1279
438	998	1276
439	1000	1273
440	1002	1270
441	1004	1268
442	1007	1267
443	1009	1264
444	1011	1261
445	1013	1259
446	1015	1256
447	1018	1254
448	1020	1251
449	1022	1249
450	1023	1246
451	1025	1243
452	1027	1241
453	1031	1240
454	1033	1237
455	1035	1235
456	1037	1232
457	1039	1229
458	1041	1227
459	1043	1224
460	1045	1222
461	1047	1219
462	1049	1216
463	1052	1215
464	1054	1212
465	1055	1210
466	1057	1207
467	1061	1206
468	1063	1203
469	1065	1201
470	1067	1199
471	1069	1196
472	1072	1194
473	1076	1194
474	1078	1191
475	1079	1188
476	1082	1186
477	1083	1183
478	1085	1181
479	1088	1178
480	1089	1176
481	1091	1173
482	1093	1170
483	1097	1169
484	1099	1167
485	1101	1164
486	1103	1162
487	1105	1159
488	1107	1157
489	1109	1154
490	1111	1151
491	1113	1149
492	1115	1146
493	1117	1144
494	1119	1142
495	1121	1139
496	1123	1136
497	1125	1134
498	1127	1131
499	1129	1129
500	1131	1126
501	1132	1123
502	1134	1121
503	1136	1118
504	1139	1116
505	1141	1114
506	1143	1111
507	1145	1109
508	1147	1106
509	1149	1104
510	1152	1102
511	1155	1101
512	1163	1104
513	1166	1102
514	1168	1100
515	1170	1097
516	1173	1096
517	1175	1093
518	1178	1092
519	1190	1098
520	1192	1096
521	1195	1094
522	1197	1092
523	1199	1089
524	1201	1087
525	1204	1085
526	1208	1085
527	1211	1082
528	1213	1080
529	1215	1077
530	1219	1077
531	1221	1074
532	1224	1072
533	1226	1070
534	1232	1071
535	1235	1069
536	1237	1066
537	1238	1063
538	1241	1061
539	1246	1061
540	1248	1059
541	1253	1059
542	1256	1057
543	1258	1054
544	1260	1052
545	1262	1049
546	1264	1047
547	1266	1044
548	1270	1043
549	1273	1042
550	1276	1040
551	1279	1038
552	1282	1036
553	1284	1033
554	1286	1031
555	1288	1028
556	1290	1025
557	1291	1023
558	1293	1020
559	1297	1019
560	1299	1017
561	1301	1014
562	1303	1012
563	1305	1009
564	1307	1006
565	1309	1004
566	1311	1001
567	1313	999
568	1315	996
569	1319	995
570	1321	992
571	1323	990
572	1325	987
573	1327	985
574	1329	982
575	1332	980
576	1334	978
577	1336	975
578	1338	973
579	1341	971
580	1343	968
581	1345	966
582	1347	963
583	1349	961
584	1351	958
585	1353	956
586	1355	953
587	1357	950
588	1358	948
589	1360	945
590	1363	943
591	1365	941
592	1367	938
593	1369	936
594	1371	933
595	1373	931
596	1375	928
597	1377	925
598	1379	923
599	1381	920
600	1384	918
601	1386	916
602	1388	913
603	1389	911
604	1391	908
605	1393	906
606	1395	903
607	1397	901
608	1399	898
609	1401	895
610	1403	893
611	1406	891
612	1409	889
613	1412	887
614	1414	885
615	1416	883
616	1418	880
617	1420	878
618	1423	875
619	1425	873
620	1428	871
621	1429	869
622	1431	866
623	1433	863
624	1436	861
625	1438	859
626	1440	856
627	1442	854
628	1444	851
629	1446	849
630	1448	846
631	1452	845
632	1455	843
633	1457	841
634	1460	839
635	1462	836
636	1465	835
637	1467	832
638	1469	830
639	1472	828
640	1474	825
641	1476	823
642	1478	820
643	1480	818
644	1482	815
645	1484	813
646	1485	810
647	1487	808
648	1490	806
649	1492	803
650	1494	801
651	1497	799
652	1499	796
653	1501	794
654	1503	791
655	1505	789
656	1506	786
657	1509	784
658	1511	782
659	1518	782
660	1521	780
661	1524	778
662	1526	775
663	1528	773
664	1531	771
665	1533	768
666	1535	766
667	1538	764
668	1541	762
669	1546	761
670	1549	759
671	1551	757
672	1554	755
673	1556	752
674	1561	751
675	1564	749
676	1566	747
677	1568	744
678	1570	742
679	1573	740
680	1575	737
681	1577	735
682	1582	734
683	1585	732
684	1587	730
685	1590	728
686	1593	725
687	1595	723
688	1597	721
689	1600	718
690	1602	716
691	1605	714
692	1607	712
693	1609	709
694	1611	707
695	1613	704
696	1615	702
697	1617	699
698	1619	697
699	1621	694
700	1623	692
701	1626	690
702	1628	688
703	1630	685
704	1632	683
705	1635	680
706	1637	678
707	1639	675
708	1641	673
709	1643	671
710	1645	668
711	1650	667
712	1652	665
713	1656	663
714	1658	660
715	1660	658
716	1662	656
717	1664	653
718	1665	651
719	1668	648
720	1671	646
721	1673	644
722	1674	641
723	1677	639
724	1678	636
725	1680	634
726	1682	631
727	1684	629
728	1686	626
729	1688	624
730	1691	622
731	1693	619
732	1695	617
733	1697	615
734	1699	612
735	1701	610
736	1703	607
737	1705	605
738	1706	602
739	1708	600
740	1711	598
741	1714	596
742	1716	593
743	1718	591
744	1720	588
745	1722	586
746	1724	584
747	1726	581
748	1728	579
749	1731	577
750	1733	574
751	1736	572
752	1738	570
753	1740	567
754	1742	565
755	1744	563
756	1746	560
757	1748	558
758	1749	555
759	1752	553
760	1754	550
761	1756	548
762	1759	546
763	1761	544
764	1762	541
765	1765	539
766	1767	536
767	1768	534
768	1770	531
769	1772	529
770	1774	527
771	1776	524
772	1781	523
773	1783	520
774	1784	518
775	1787	515
776	1789	513
777	1791	511
778	1793	508
779	1794	506
780	1796	503
781	1798	501
782	1802	499
783	1804	497
784	1806	494
785	1808	492
786	1811	490
787	1813	487
788	1815	485
789	1817	483
790	1819	480
791	1822	478
792	1825	476
793	1827	474
794	1831	472
795	1833	469
796	1836	467
797	1839	465
798	1841	463
799	1843	460
800	1846	458
801	1848	456
802	1850	453
803	1852	451
804	1854	449
805	1856	446
806	1858	444
807	1859	441
808	1862	439
809	1866	437
810	1869	435
811	1871	433
812	1873	430
813	1875	428
814	1877	426
815	1879	423
816	1881	421
817	1882	418
818	1884	416
819	1886	414
820	1890	412
821	1892	409
822	1894	407
823	1896	405
824	1898	402
825	1900	400
826	1902	398
827	1904	395
828	1906	393
829	1908	390
830	1911	388
831	1913	386
832	1915	384
833	1919	381
834	1921	379
835	1923	377
836	1924	374
837	1926	372
838	1928	370
839	1930	367
840	1933	365
841	1935	363
842	1937	360
843	1939	358
844	1941	356
845	1943	353
846	1945	351
847	1947	349
848	1949	346
849	1951	344
850	1954	342
851	1956	339
852	1958	337
853	1961	335
854	1963	332
855	1965	330
856	1967	328
857	1968	325
858	1970	323
859	1972	321
860	1975	318
861	1977	316
862	1979	314
863	1981	311
864	1983	309
865	1987	307
866	1988	305
867	1990	302
868	1992	300
869	1994	298
870	1996	295
871	1999	293
872	2001	291
873	2003	288
874	2005	286
875	2007	284
876	2009	281
877	2011	279
878	2013	277
879	2015	274
880	2017	272
881	2021	270
882	2023	268
883	2025	265
884	2027	263
885	2029	261
886	2031	258
887	2033	256
888	2035	254
889	2037	251
890	2038	249
891	2042	247
892	2044	244
893	2046	242
894	2048	240
895	2050	237
896	2052	235
897	2053	233
898	2055	230
899	2057	228
900	2059	226
901	2061	223
902	2065	221
903	2067	219
904	2069	217
905	2071	214
906	2073	212
907	2074	210
908	2076	207
909	2078	205
910	2080	203
911	2082	200
912	2084	198
913	2087	196
914	2089	194
915	2091	191
916	2094	189
917	2096	187
918	2098	184
919	2100	182
920	2101	180
921	2103	177
922	2105	175
923	2109	173
924	2111	171
925	2113	168
926	2115	166
927	2117	164
928	2119	161
929	2120	159
930	2122	157
931	2124	155
932	2126	152
933	2130	150
934	2132	148
935	2134	145
936	2136	143
937	2138	141
938	2140	139
939	2142	136
940	2144	134
941	2146	132
942	2147	129
943	2149	127
944	2153	125
945	2154	123
